t,MV,PV,DV,SP,Man
0.000000000000000000e+00,7.000000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,7.000000000000000000e+01,3.597999999999999687e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,7.000000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.999999999999998579e+01,3.571999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,7.000000000000001421e+01,3.571999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,7.000000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,7.000000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,7.000000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,7.000000000000000000e+01,3.571999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,7.000000000000000000e+01,3.578999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,7.000000000000000000e+01,3.585000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,7.000000000000001421e+01,3.603999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,7.000000000000000000e+01,3.603999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.999999999999998579e+01,3.607999999999999829e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,7.000000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,7.000000000000000000e+01,3.636999999999999744e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,7.000000000000000000e+01,3.656000000000000227e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,7.000000000000000000e+01,3.668999999999999773e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,7.000000000000000000e+01,3.678999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,7.000000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,7.000000000000000000e+01,3.700999999999999801e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,7.000000000000000000e+01,3.727000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,7.000000000000000000e+01,3.732999999999999829e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,7.000000000000000000e+01,3.759000000000000341e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,7.000000000000000000e+01,3.765999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,7.000000000000000000e+01,3.790999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,7.000000000000000000e+01,3.797999999999999687e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,7.000000000000000000e+01,3.817000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,6.999999999999998579e+01,3.829999999999999716e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
2.900000000000000000e+01,7.000000000000000000e+01,3.856000000000000227e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+01,7.000000000000000000e+01,3.861999999999999744e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.100000000000000000e+01,7.000000000000000000e+01,3.890999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.200000000000000000e+01,7.000000000000000000e+01,3.897999999999999687e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.300000000000000000e+01,7.000000000000000000e+01,3.927000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.400000000000000000e+01,7.000000000000000000e+01,3.932999999999999829e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.500000000000000000e+01,7.000000000000000000e+01,3.959000000000000341e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.600000000000000000e+01,7.000000000000000000e+01,3.971999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.700000000000000000e+01,7.000000000000000000e+01,3.990999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.800000000000000000e+01,7.000000000000001421e+01,3.997999999999999687e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
3.900000000000000000e+01,7.000000000000000000e+01,4.022999999999999687e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+01,7.000000000000000000e+01,4.039999999999999858e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,7.000000000000000000e+01,4.056000000000000227e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.200000000000000000e+01,7.000000000000000000e+01,4.075000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.300000000000000000e+01,7.000000000000001421e+01,4.090999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.400000000000000000e+01,7.000000000000000000e+01,4.120000000000000284e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.500000000000000000e+01,7.000000000000000000e+01,4.127000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.600000000000000000e+01,7.000000000000000000e+01,4.152000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.700000000000000000e+01,7.000000000000000000e+01,4.152000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.800000000000000000e+01,7.000000000000000000e+01,4.175000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
4.900000000000000000e+01,7.000000000000000000e+01,4.185000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+01,7.000000000000000000e+01,4.217000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.100000000000000000e+01,7.000000000000000000e+01,4.217000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.200000000000000000e+01,7.000000000000000000e+01,4.249000000000000199e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.300000000000000000e+01,7.000000000000000000e+01,4.252000000000000313e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.400000000000000000e+01,7.000000000000000000e+01,4.278000000000000114e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.500000000000000000e+01,7.000000000000000000e+01,4.281000000000000227e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.600000000000000000e+01,7.000000000000000000e+01,4.303999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.700000000000000000e+01,7.000000000000000000e+01,4.313000000000000256e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.800000000000000000e+01,7.000000000000000000e+01,4.329999999999999716e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
5.900000000000000000e+01,7.000000000000000000e+01,4.346000000000000085e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+01,7.000000000000000000e+01,4.375000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.100000000000000000e+01,7.000000000000000000e+01,4.378000000000000114e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.200000000000000000e+01,7.000000000000000000e+01,4.388000000000000256e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.300000000000000000e+01,7.000000000000000000e+01,4.410000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.400000000000000000e+01,7.000000000000000000e+01,4.420000000000000284e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.500000000000000000e+01,7.000000000000000000e+01,4.439000000000000057e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.600000000000000000e+01,7.000000000000000000e+01,4.442000000000000171e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.700000000000000000e+01,7.000000000000000000e+01,4.471000000000000085e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.800000000000000000e+01,7.000000000000000000e+01,4.478000000000000114e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
6.900000000000000000e+01,7.000000000000000000e+01,4.493999999999999773e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+01,7.000000000000000000e+01,4.507000000000000028e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.100000000000000000e+01,7.000000000000000000e+01,4.510000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.200000000000000000e+01,7.000000000000000000e+01,4.539000000000000057e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.300000000000000000e+01,7.000000000000000000e+01,4.549000000000000199e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.400000000000000000e+01,7.000000000000000000e+01,4.567999999999999972e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.500000000000000000e+01,7.000000000000000000e+01,4.575000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.600000000000000000e+01,7.000000000000000000e+01,4.578000000000000114e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.700000000000000000e+01,7.000000000000001421e+01,4.603999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.800000000000000000e+01,7.000000000000000000e+01,4.607000000000000028e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
7.900000000000000000e+01,7.000000000000000000e+01,4.635999999999999943e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+01,7.000000000000000000e+01,4.635999999999999943e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.100000000000000000e+01,7.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.200000000000000000e+01,7.000000000000001421e+01,4.667999999999999972e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.300000000000000000e+01,7.000000000000000000e+01,4.693999999999999773e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.400000000000000000e+01,7.000000000000000000e+01,4.700000000000000000e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.500000000000000000e+01,7.000000000000000000e+01,4.715999999999999659e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.600000000000000000e+01,7.000000000000000000e+01,4.728999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.700000000000000000e+01,7.000000000000000000e+01,4.732000000000000028e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.800000000000000000e+01,7.000000000000000000e+01,4.739000000000000057e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
8.900000000000000000e+01,7.000000000000000000e+01,4.764999999999999858e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+01,7.000000000000000000e+01,4.764999999999999858e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.100000000000000000e+01,7.000000000000000000e+01,4.774000000000000199e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.200000000000000000e+01,7.000000000000000000e+01,4.793999999999999773e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.300000000000000000e+01,7.000000000000000000e+01,4.796999999999999886e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.400000000000000000e+01,7.000000000000000000e+01,4.810000000000000142e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.500000000000000000e+01,7.000000000000000000e+01,4.828999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.600000000000000000e+01,7.000000000000001421e+01,4.828999999999999915e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
9.700000000000000000e+01,7.000000000000000000e+01,4.845000000000000284e+01,5.000000000000000000e+01,5.500000000000000000e+01,1.000000000000000000e+00
