t,MV,PV
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,3.250000000000064036e-03
8.000000000000000000e+00,1.000000000000000000e+00,3.999999999999915082e-03
9.000000000000000000e+00,1.000000000000000000e+00,8.000000000000007105e-03
1.000000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.100000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.200000000000000000e+01,1.000000000000000000e+00,1.449999999999995737e-02
1.300000000000000000e+01,1.000000000000000000e+00,1.600000000000001421e-02
1.400000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
1.500000000000000000e+01,1.000000000000000000e+00,2.249999999999996447e-02
1.600000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
1.700000000000000000e+01,1.000000000000000000e+00,2.400000000000002132e-02
1.800000000000000000e+01,1.000000000000000000e+00,2.974999999999994316e-02
1.900000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
2.000000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
2.100000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
2.200000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
2.300000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
2.400000000000000000e+01,1.000000000000000000e+00,4.499999999999992895e-02
2.500000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
2.600000000000000000e+01,1.000000000000000000e+00,5.399999999999991612e-02
2.700000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
2.800000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
2.900000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
3.000000000000000000e+01,1.000000000000000000e+00,6.349999999999997313e-02
3.100000000000000000e+01,1.000000000000000000e+00,6.675000000000004541e-02
3.200000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
3.300000000000000000e+01,1.000000000000000000e+00,7.249999999999996725e-02
3.400000000000000000e+01,1.000000000000000000e+00,7.400000000000002409e-02
3.500000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
3.600000000000000000e+01,1.000000000000000000e+00,8.125000000000000278e-02
3.700000000000000000e+01,1.000000000000000000e+00,8.774999999999995304e-02
3.800000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
3.900000000000000000e+01,1.000000000000000000e+00,9.024999999999998301e-02
4.000000000000000000e+01,1.000000000000000000e+00,9.100000000000001144e-02
4.100000000000000000e+01,1.000000000000000000e+00,9.649999999999998856e-02
4.200000000000000000e+01,1.000000000000000000e+00,9.649999999999998856e-02
4.300000000000000000e+01,1.000000000000000000e+00,1.007500000000000340e-01
4.400000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
4.500000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
4.600000000000000000e+01,1.000000000000000000e+00,1.109999999999999459e-01
4.700000000000000000e+01,1.000000000000000000e+00,1.127499999999999475e-01
4.800000000000000000e+01,1.000000000000000000e+00,1.127499999999999475e-01
4.900000000000000000e+01,1.000000000000000000e+00,1.182499999999999246e-01
5.000000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
5.100000000000000000e+01,1.000000000000000000e+00,1.207499999999999546e-01
5.200000000000000000e+01,1.000000000000000000e+00,1.240000000000000269e-01
5.300000000000000000e+01,1.000000000000000000e+00,1.287499999999999756e-01
5.400000000000000000e+01,1.000000000000000000e+00,1.287499999999999756e-01
5.500000000000000000e+01,1.000000000000000000e+00,1.287499999999999756e-01
5.600000000000000000e+01,1.000000000000000000e+00,1.369999999999999274e-01
5.700000000000000000e+01,1.000000000000000000e+00,1.369999999999999274e-01
5.800000000000000000e+01,1.000000000000000000e+00,1.384999999999999842e-01
5.900000000000000000e+01,1.000000000000000000e+00,1.424999999999999045e-01
6.000000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
6.100000000000000000e+01,1.000000000000000000e+00,1.449999999999999345e-01
6.200000000000000000e+01,1.000000000000000000e+00,1.457499999999999629e-01
6.300000000000000000e+01,1.000000000000000000e+00,1.522499999999999132e-01
6.400000000000000000e+01,1.000000000000000000e+00,1.529999999999999416e-01
6.500000000000000000e+01,1.000000000000000000e+00,1.529999999999999416e-01
6.600000000000000000e+01,1.000000000000000000e+00,1.562500000000000000e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.602499999999999203e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.609999999999999487e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.609999999999999487e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.642500000000000071e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.689999999999999558e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.689999999999999558e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.689999999999999558e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.740000000000000158e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.754999999999999061e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.772499999999999076e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.762499999999999345e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.772499999999999076e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.794999999999999929e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.820000000000000229e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.852499999999999147e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.852499999999999147e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.859999999999999432e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.867499999999999716e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.932499999999999218e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.932499999999999218e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.932499999999999218e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.932499999999999218e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.949999999999999234e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.980000000000000371e-01
9.100000000000000000e+01,1.000000000000000000e+00,2.012499999999999289e-01
9.200000000000000000e+01,1.000000000000000000e+00,2.012499999999999289e-01
9.300000000000000000e+01,1.000000000000000000e+00,2.012499999999999289e-01
9.400000000000000000e+01,1.000000000000000000e+00,2.022499999999999021e-01
9.500000000000000000e+01,1.000000000000000000e+00,2.077500000000000457e-01
9.600000000000000000e+01,1.000000000000000000e+00,2.095000000000000751e-01
9.700000000000000000e+01,1.000000000000000000e+00,2.095000000000000751e-01
9.800000000000000000e+01,1.000000000000000000e+00,2.095000000000000751e-01
9.900000000000000000e+01,1.000000000000000000e+00,2.109999999999999376e-01
1.000000000000000000e+02,1.000000000000000000e+00,2.157500000000000528e-01
1.010000000000000000e+02,1.000000000000000000e+00,2.174999999999998879e-01
1.020000000000000000e+02,1.000000000000000000e+00,2.174999999999998879e-01
1.030000000000000000e+02,1.000000000000000000e+00,2.189999999999999447e-01
1.040000000000000000e+02,1.000000000000000000e+00,2.222500000000000031e-01
